year,month,age,male,female
2015,8,118,0,0
2015,8,119,0,0
2015,8,120,0,0
2015,9,0,1006,969
2015,9,1,1089,1049
2015,9,2,1126,1045
2015,9,3,1147,1050
2015,9,4,1194,1146
2015,9,5,1151,1069
2015,9,6,1208,1133
2015,9,7,1232,1133
2015,9,8,1248,1200
2015,9,9,1176,1193
2015,9,10,1147,1144
2015,9,11,1297,1245
2015,9,12,1187,1215
2015,9,13,1248,1281
2015,9,14,1348,1271
2015,9,15,1343,1288
2015,9,16,1348,1281
2015,9,17,1407,1381
2015,9,18,1329,1277
2015,9,19,1315,1346
2015,9,20,1357,1261
2015,9,21,1378,1203
2015,9,22,1315,1163
2015,9,23,1347,1167
2015,9,24,1352,1118
2015,9,25,1275,1180
2015,9,26,1299,1225
2015,9,27,1317,1243
2015,9,28,1339,1314
2015,9,29,1515,1366
2015,9,30,1521,1394
2015,9,31,1566,1453
2015,9,32,1560,1465
2015,9,33,1630,1549
2015,9,34,1630,1498
2015,9,35,1767,1731
2015,9,36,1786,1608
2015,9,37,1818,1664
2015,9,38,1838,1798
2015,9,39,1967,1840
2015,9,40,2026,1935
2015,9,41,2111,1941
2015,9,42,2032,1955
2015,9,43,2004,1905
2015,9,44,2040,1822
2015,9,45,1847,1758
2015,9,46,1790,1720
2015,9,47,1830,1788
2015,9,48,1846,1806
2015,9,49,1432,1423
2015,9,50,1812,1711
2015,9,51,1611,1665
2015,9,52,1721,1547
2015,9,53,1594,1593
2015,9,54,1564,1640
2015,9,55,1734,1768
2015,9,56,1778,1698
2015,9,57,1701,1695
2015,9,58,1791,1703
2015,9,59,1750,1783
2015,9,60,1934,1959
2015,9,61,1882,1971
2015,9,62,2010,2026
2015,9,63,2124,2188
2015,9,64,2226,2316
2015,9,65,2408,2495
2015,9,66,2481,2451
2015,9,67,2453,2463
2015,9,68,2185,2168
2015,9,69,1151,1245
2015,9,70,1338,1431
2015,9,71,1654,1861
2015,9,72,1526,1735
2015,9,73,1596,1916
2015,9,74,1461,1647
2015,9,75,1442,1595
2015,9,76,1169,1394
2015,9,77,1288,1688
2015,9,78,1285,1665
2015,9,79,1282,1729
2015,9,80,1075,1583
2015,9,81,1018,1465
2015,9,82,995,1608
2015,9,83,925,1432
2015,9,84,864,1469
2015,9,85,755,1274
2015,9,86,711,1315
2015,9,87,644,1154
2015,9,88,549,1052
2015,9,89,469,1008
2015,9,90,350,823
2015,9,91,218,677
2015,9,92,156,564
2015,9,93,128,473
2015,9,94,118,433
2015,9,95,87,326
2015,9,96,44,199
2015,9,97,38,178
2015,9,98,19,106
2015,9,99,13,72
2015,9,100,5,51
2015,9,101,8,35
2015,9,102,5,18
2015,9,103,3,12
2015,9,104,0,4
2015,9,105,1,8
2015,9,106,2,1
2015,9,107,0,2
2015,9,108,0,1
2015,9,109,0,0
2015,9,110,0,0
2015,9,111,0,0
2015,9,112,0,0
2015,9,113,0,0
2015,9,114,0,0
2015,9,115,0,0
2015,9,116,0,0
2015,9,117,0,0
2015,9,118,0,0
2015,9,119,0,0
2015,9,120,0,0
2015,10,0,1000,957
2015,10,1,1068,1014
2015,10,2,1138,1067
2015,10,3,1133,1045
2015,10,4,1184,1146
2015,10,5,1177,1074
2015,10,6,1202,1123
2015,10,7,1238,1140
2015,10,8,1230,1185
2015,10,9,1192,1171
2015,10,10,1130,1169
2015,10,11,1301,1243
2015,10,12,1195,1194
2015,10,13,1243,1299
2015,10,14,1346,1271
2015,10,15,1327,1300
2015,10,16,1344,1277
2015,10,17,1424,1373
2015,10,18,1324,1276
2015,10,19,1311,1354
2015,10,20,1353,1238
2015,10,21,1385,1230
2015,10,22,1322,1174
2015,10,23,1348,1142
2015,10,24,1334,1121
2015,10,25,1274,1158
2015,10,26,1300,1229
2015,10,27,1300,1213
2015,10,28,1344,1327
2015,10,29,1516,1345
2015,10,30,1513,1390
2015,10,31,1555,1442
2015,10,32,1564,1441
2015,10,33,1599,1553
2015,10,34,1640,1496
2015,10,35,1753,1691
2015,10,36,1795,1620
2015,10,37,1797,1649
2015,10,38,1854,1816
2015,10,39,1964,1813
2015,10,40,1980,1961
2015,10,41,2130,1891
2015,10,42,2023,1969
2015,10,43,2010,1898
2015,10,44,2053,1866
2015,10,45,1844,1748
2015,10,46,1793,1741
2015,10,47,1825,1757
2015,10,48,1866,1851
2015,10,49,1442,1379
2015,10,50,1770,1731
2015,10,51,1653,1674
2015,10,52,1702,1555
2015,10,53,1591,1573
2015,10,54,1570,1627
2015,10,55,1724,1783
2015,10,56,1785,1684
2015,10,57,1704,1715
2015,10,58,1774,1676
2015,10,59,1762,1799
2015,10,60,1905,1951
2015,10,61,1899,1948
2015,10,62,1974,2026
2015,10,63,2123,2163
2015,10,64,2210,2292
2015,10,65,2362,2467
2015,10,66,2487,2460
2015,10,67,2443,2443
2015,10,68,2280,2256
2015,10,69,1186,1282
2015,10,70,1301,1399
2015,10,71,1613,1829
2015,10,72,1575,1755
2015,10,73,1580,1917
2015,10,74,1464,1674
2015,10,75,1463,1605
2015,10,76,1185,1409
2015,10,77,1271,1638
2015,10,78,1287,1693
2015,10,79,1261,1700
2015,10,80,1092,1589
2015,10,81,1024,1476
2015,10,82,1010,1579
2015,10,83,912,1456
2015,10,84,872,1452
2015,10,85,759,1290
2015,10,86,698,1295
2015,10,87,657,1177
2015,10,88,546,1045
2015,10,89,472,1004
2015,10,90,353,850
2015,10,91,226,689
2015,10,92,158,558
2015,10,93,122,476
2015,10,94,118,420
2015,10,95,88,339
2015,10,96,43,206
2015,10,97,41,167
2015,10,98,20,110
2015,10,99,13,74
2015,10,100,5,50
2015,10,101,7,32
2015,10,102,6,20
2015,10,103,2,12
2015,10,104,0,6
2015,10,105,3,12
2015,11,0,1004,973
2015,11,1,1074,1013
2015,11,2,1134,1052
2015,11,3,1112,1053
2015,11,4,1212,1125
2015,11,5,1156,1081
2015,11,6,1205,1117
2015,11,7,1233,1137
2015,11,8,1205,1190
2015,11,9,1211,1183
2015,11,10,1108,1168
2015,11,11,1307,1210
2015,11,12,1204,1193
2015,11,13,1244,1308
2015,11,14,1345,1270
2015,11,15,1317,1316
2015,11,16,1356,1250
2015,11,17,1427,1413
2015,11,18,1298,1242
2015,11,19,1321,1359
2015,11,20,1348,1244
2015,11,21,1382,1236
2015,11,22,1321,1166
2015,11,23,1362,1147
2015,11,24,1357,1129
2015,11,25,1269,1142
2015,11,26,1296,1246
2015,11,27,1312,1210
2015,11,28,1322,1321
2015,11,29,1516,1333
2015,11,30,1527,1393
2015,11,31,1550,1433
2015,11,32,1552,1470
2015,11,33,1598,1524
2015,11,34,1655,1496
2015,11,35,1739,1677
2015,11,36,1798,1646
2015,11,37,1767,1651
2015,11,38,1876,1796
2015,11,39,1964,1820
2015,11,40,1973,1923
2015,11,41,2114,1911
2015,11,42,2042,2000
2015,11,43,1998,1876
2015,11,44,2063,1888
2015,11,45,1870,1745
2015,11,46,1767,1730
2015,11,47,1842,1760
2015,11,48,1890,1878
2015,11,49,1401,1361
2015,11,50,1789,1748
2015,11,51,1674,1654
2015,11,52,1682,1573
2015,11,53,1609,1585
2015,11,54,1573,1621
2015,11,55,1738,1753
2015,11,56,1756,1685
2015,11,57,1723,1723
2015,11,58,1732,1671
2015,11,59,1797,1803
2015,11,60,1870,1927
2015,11,61,1911,1954
2015,11,62,1933,2018
2015,11,63,2138,2164
2015,11,64,2210,2272
2015,11,65,2325,2408
2015,11,66,2438,2514
2015,11,67,2459,2401
2015,11,68,2339,2306
2015,11,69,1266,1345
2015,11,70,1247,1373
2015,11,71,1617,1805
2015,11,72,1572,1765
2015,11,73,1570,1886
2015,11,74,1467,1699
2015,11,75,1472,1623
2015,11,76,1189,1410
2015,11,77,1265,1604
2015,11,78,1288,1712
2015,11,79,1246,1697
2015,11,80,1114,1621
2015,11,81,1026,1451
2015,11,82,969,1556
2015,11,83,942,1480
2015,11,84,861,1457
2015,11,85,780,1301
2015,11,86,672,1260
2015,11,87,665,1182
2015,11,88,545,1056
2015,11,89,467,980
2015,11,90,367,858
2015,11,91,222,692
2015,11,92,169,570
2015,11,93,125,463
2015,11,94,121,436
2015,11,95,84,334
2015,11,96,46,217
2015,11,97,40,159
2015,11,98,22,116
2015,11,99,13,75
2015,11,100,6,50
2015,11,101,7,31
2015,11,102,5,21
2015,11,103,1,14
2015,11,104,1,5
2015,11,105,3,12
2015,12,0,1004,972
2015,12,1,1074,1011
2015,12,2,1134,1044
2015,12,3,1101,1070
2015,12,4,1202,1106
2015,12,5,1174,1075
2015,12,6,1196,1109
2015,12,7,1235,1164
2015,12,8,1202,1165
2015,12,9,1222,1193
2015,12,10,1113,1174
2015,12,11,1279,1188
2015,12,12,1219,1201
